Departement;Candidat;percent
37;DUPONT-AIGNAN;2.01
37;HOLLANDE;28.10
41;JOLY;1.73
41;LE PEN;20.88
41;SARKOZY;28.35
41;MELENCHON;9.85
41;POUTOU;1.31
41;ARTHAUD;0.70
41;CHEMINADE;0.26
41;BAYROU;9.76
41;DUPONT-AIGNAN;2.14
41;HOLLANDE;25.01
45;JOLY;1.89
45;LE PEN;20.58
45;SARKOZY;29.31
45;MELENCHON;9.53
45;POUTOU;1.01
45;ARTHAUD;0.56
45;CHEMINADE;0.25
45;BAYROU;9.31
45;DUPONT-AIGNAN;2.11
45;HOLLANDE;25.45
14;JOLY;2.13
14;LE PEN;16.22
14;SARKOZY;27.34
14;MELENCHON;10.56
14;POUTOU;1.34
14;ARTHAUD;0.66
14;CHEMINADE;0.25
14;BAYROU;10.10
14;DUPONT-AIGNAN;2.05
14;HOLLANDE;29.34
50;JOLY;1.83
50;LE PEN;16.63
50;SARKOZY;28.82
50;MELENCHON;9.85
50;POUTOU;1.35
50;ARTHAUD;0.72
50;CHEMINADE;0.29
50;BAYROU;11.20
50;DUPONT-AIGNAN;2.27
50;HOLLANDE;27.04
61;JOLY;1.79
61;LE PEN;20.00
61;SARKOZY;29.64
61;MELENCHON;8.92
61;POUTOU;1.45
61;ARTHAUD;0.74
61;CHEMINADE;0.24
61;BAYROU;10.55
61;DUPONT-AIGNAN;2.40
61;HOLLANDE;24.26
21;JOLY;2.10
21;LE PEN;18.84
21;SARKOZY;28.57
21;MELENCHON;9.51
21;POUTOU;1.06
21;ARTHAUD;0.56
21;CHEMINADE;0.24
21;BAYROU;9.37
21;DUPONT-AIGNAN;1.95
21;HOLLANDE;27.79
58;JOLY;1.64
58;LE PEN;19.58
58;SARKOZY;22.51
58;MELENCHON;11.95
58;POUTOU;1.28
58;ARTHAUD;0.72
58;CHEMINADE;0.26
58;BAYROU;7.46
58;DUPONT-AIGNAN;1.96
58;HOLLANDE;32.64
71;JOLY;1.67
71;LE PEN;20.03
71;SARKOZY;26.01
71;MELENCHON;10.64
71;POUTOU;1.22
71;ARTHAUD;0.63
71;CHEMINADE;0.25
71;BAYROU;8.83
71;DUPONT-AIGNAN;2.03
71;HOLLANDE;28.69
89;JOLY;1.76
89;LE PEN;23.68
89;SARKOZY;27.62
89;MELENCHON;10.05
89;POUTOU;1.27
89;ARTHAUD;0.68
